Episode,Action Sequence,Total Reward,Steps Taken,Weights
46,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.72384527  8.51626917  2.82460504  3.44756918  5.78549449 18.29259431
  -1.45452156  5.21874098  2.10047599]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [14.69828267  1.53936362 -4.0052475   5.54560638 -8.17316064 -2.75810809
  25.31165075 10.16160194 -1.1958369 ]]"
47,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.683332    8.68603811  2.81764625  3.40585346  5.74116919 18.27912252
  -1.47331869  5.280593    2.16315214]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [15.01576623  1.55149547 -4.0582936   5.45323211 -8.48455007 -2.71871604
  25.70093374 10.31911989 -1.20143338]]"
48,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [10.71007852  8.84991846  2.81920186  3.36803994  5.71661663 18.29054352
  -1.4677782   5.33415189  2.22591593]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [15.3211943   1.56652569 -4.11020329  5.38648256 -8.78290928 -2.68119717
  26.08301461 10.4825431  -1.20678731]]"
49,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.98012127  9.01190132  2.98855632  3.34485647  5.84845298 19.56688911
  -1.30222307  5.38194792  2.29157544]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [14.12381797  1.56881269 -4.27159669  5.13959026 -9.43739476 -3.01239874
  25.41539575 10.64359278 -1.21699722]]"
50,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.64415802  9.05623192  2.92920875  3.15842803  5.59422601 19.44799664
  -1.43859705  5.3166476   2.33790589]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [14.669194    1.61945248 -4.29377005  5.23032857 -9.53276828 -2.94140289
  26.01726781 10.85115137 -1.21795639]]"
51,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.42377008 -2.09717607 -1.5114834  -0.2780484  -0.5211005  -0.91075249
  -0.06444304 -1.01015993 -1.72687013]
 [11.46853775  9.18281069  2.89856853  3.05244157  5.45585472 19.38630319
  -1.51112421  5.33354451  2.39538617]
 [-0.25114995 -2.48711272 -1.13512834 -0.43360378 -0.60062629 -0.63455977
  -0.10514824 -1.65125845 -1.33053423]
 [15.07898991  1.63169938 -4.33101142  5.21702409 -9.73751804 -2.88914083
  26.49129304 10.97963523 -1.22208605]]"
52,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 11.3973328    9.33504966   2.88452555   2.98115359   5.37583249
   19.36237283  -1.54347454   5.37455139   2.45690947]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 15.40470804   1.629495    -4.37682913   5.1573638  -10.00106279
   -2.84858461  26.88781142  11.08350412  -1.22766546]]"
53,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 11.3970174    9.48869401   2.88048068   2.92271103   5.32506951
   19.36439689  -1.54940795   5.41507683   2.5193171 ]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 15.68043658   1.62385623  -4.42692302   5.08449073 -10.29126019
   -2.81506293  27.23974677  11.18546686  -1.23378575]]"
54,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 11.45074621   9.63565925   2.88337233   2.86827873   5.29102267
   19.38638309  -1.53567811   5.44712893   2.58148086]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 15.94525067   1.62185842  -4.47600693   5.03561164 -10.56954886
   -2.78323904  27.58520027  11.2956149   -1.23963954]]"
55,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 11.5456495    9.77883223   2.89161487   2.81741293   5.27021656
   19.42356384  -1.50692958   5.47386158   2.64369322]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 16.19790186   1.62254131  -4.52431592   5.00646574 -10.83834453
   -2.75325246  27.92233205  11.41166383  -1.24529086]]"
56,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 11.67125836   9.92011946   2.90388691   2.7694851    5.25956578
   19.47206856  -1.4669613    5.49736616   2.70614419]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 16.43754964   1.62519601  -4.57204183   4.99342646 -11.09965871
   -2.72518977  28.24975583  11.53195313  -1.25078826]]"
57,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 11.81910419  10.06074469   2.91909652   2.72379198   5.25638632
   19.52877184  -1.41886154   5.51899448   2.76895226]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 16.66369014   1.62927402  -4.61934038   4.99336786 -11.35517332
   -2.69909403  28.566463    11.65520736  -1.2561698 ]]"
58,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 13.02561024  10.20128979   3.07753416   2.67845567   5.35927981
   20.74389506  -1.26422091   5.53881608   2.83403273]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 15.50980462   1.61959318  -4.77524608   4.81867083 -11.95789893
   -3.02657828  27.95860112  11.77395444  -1.26651399]]"
59,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 12.79921092  10.24149583   3.03234559   2.5001163    5.13910351
   20.66549298  -1.36078895   5.46209166   2.88249034]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 15.96344711   1.65468189  -4.79462099   4.95643761 -12.02550774
   -2.96862831  28.48141538  11.9317512   -1.26787452]]"
60,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[ -0.42377008  -2.09717607  -1.5114834   -0.2780484   -0.5211005
   -0.91075249  -0.06444304  -1.01015993  -1.72687013]
 [ 12.69978554  10.35852446   3.01104592   2.39522665   5.02009585
   20.63208411  -1.40597617   5.46262225   2.94118568]
 [ -0.25114995  -2.48711272  -1.13512834  -0.43360378  -0.60062629
   -0.63455977  -0.10514824  -1.65125845  -1.33053423]
 [ 16.30324716   1.65611702  -4.82652748   5.00434226 -12.1849777
   -2.92637581  28.8962236   12.01893833  -1.27194964]]"
