Episode,Action Sequence,Total Reward,Steps Taken,Weights
28,"[1, 0, 3, 2, 3, 2, 1, 1, 3, 0, 0, 2, 3, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 3, 3, 3, 3]",-6,32,"[[[-3.13403932 -2.26162821 -4.15483009 -2.37451919]
  [-2.32573948 -1.8036898  -2.74616283 -1.7062554 ]
  [-1.5084936  -1.36855432 -2.0994811  -1.46501384]
  [-1.35788802 -0.775793   -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      0.47616288]]

 [[-2.64440239 -1.74416679 -2.37172428 -1.93738066]
  [-1.99175418 -1.44532591 -1.8769873  -1.29121417]
  [-1.46696355 -1.05290431 -1.25425869 -1.02149953]
  [-0.93305809  0.33708465 -0.75263054 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  5.89427958]]

 [[-2.08825869 -1.53365349 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.23372581 -1.20811493 -1.17262493]
  [-0.6447428  -0.82614133 -1.01595842 -0.86559997]
  [-0.68936664  1.3435912  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       14.37337681]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.41021499]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       22.81614452]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  3.28526686 -0.70779772 -1.40775   ]
  [-0.15       12.64153897 -0.332175   -1.3875    ]
  [ 0.         21.97736266 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
29,"[1, 3, 1, 3, 1, 1, 3, 3]",18,8,"[[[-3.13403932 -2.30272846 -4.15483009 -2.37451919]
  [-2.32573948 -1.8036898  -2.74616283 -1.77463101]
  [-1.5084936  -1.36855432 -2.0994811  -1.46501384]
  [-1.35788802 -0.775793   -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      0.47616288]]

 [[-2.64440239 -1.74416679 -2.37172428 -1.93738066]
  [-1.99175418 -1.51642946 -1.8769873  -1.29121417]
  [-1.46696355 -1.05290431 -1.25425869 -1.10531488]
  [-0.93305809  0.33708465 -0.75263054 -0.70195939]
  [-0.15       -1.29360303 -0.31769625  5.89427958]]

 [[-2.08825869 -1.53365349 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.23372581 -1.20811493 -1.17262493]
  [-0.6447428  -0.67083532 -1.01595842 -0.86559997]
  [-0.68936664  2.93245839 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       15.1475498 ]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.41021499]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.14372284]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  3.28526686 -0.70779772 -1.40775   ]
  [-0.15       12.64153897 -0.332175   -1.3875    ]
  [ 0.         21.97736266 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
30,"[3, 1, 0, 1, 1, 1, 0, 1, 3, 1, 3, 3]",14,12,"[[[-3.13403932 -2.30272846 -4.15483009 -2.40380383]
  [-2.32573948 -1.8036898  -2.74616283 -1.77463101]
  [-1.5084936  -1.36855432 -2.0994811  -1.46501384]
  [-1.35788802 -0.775793   -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      0.47616288]]

 [[-2.64440239 -1.86014124 -2.37172428 -1.93738066]
  [-2.08691657 -1.58110713 -1.8769873  -1.29121417]
  [-1.46696355 -0.95403647 -1.25425869 -1.10531488]
  [-1.07802678  0.33708465 -0.75263054 -0.3507836 ]
  [-0.15       -1.29360303 -0.31769625  5.89427958]]

 [[-2.08825869 -1.53365349 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.23372581 -1.20811493 -1.17262493]
  [-0.6447428  -0.67083532 -1.01595842 -0.86559997]
  [-0.68936664  4.38750885 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       15.84981992]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.58749226 -0.87945292 -0.41021499]
  [-0.74518478 -0.44793009 -0.75592244  2.17588867]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.42216442]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  3.28526686 -0.70779772 -1.40775   ]
  [-0.15       12.64153897 -0.332175   -1.3875    ]
  [ 0.         21.97736266 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
31,"[3, 2, 1, 3, 3, 3, 1, 3, 1, 1]",16,10,"[[[-3.13403932 -2.34689438 -4.15483009 -2.44435232]
  [-2.32573948 -1.8036898  -2.74616283 -1.83275027]
  [-1.5084936  -1.36855432 -2.0994811  -1.46501384]
  [-1.35788802 -0.775793   -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      0.47616288]]

 [[-2.64440239 -1.86014124 -2.47683398 -1.93738066]
  [-2.08691657 -1.58110713 -1.8769873  -1.38829028]
  [-1.46696355 -0.95403647 -1.25425869 -1.10531488]
  [-1.07802678  0.33708465 -0.75263054 -0.3507836 ]
  [-0.15       -1.29360303 -0.31769625  5.89427958]]

 [[-2.08825869 -1.53365349 -1.56497904 -1.4148096 ]
  [-1.0426536  -1.23372581 -1.20811493 -1.20211021]
  [-0.6447428  -0.67083532 -1.01595842 -0.86559997]
  [-0.68936664  4.38750885 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       15.84981992]]

 [[-2.07542116 -0.98346663 -1.21845467 -1.22350113]
  [-0.91855429 -0.35562345 -0.87945292 -0.41021499]
  [-0.74518478 -0.44793009 -0.75592244  3.40611313]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.42216442]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  3.28526686 -0.70779772 -1.40775   ]
  [-0.15       13.56225208 -0.332175   -1.3875    ]
  [ 0.         22.43075826 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
32,"[3, 1, 0, 3, 3, 2, 3, 1, 1, 3, 1, 1]",14,12,"[[[-3.13403932e+00 -2.34689438e+00 -4.15483009e+00 -2.47881854e+00]
  [-2.32573948e+00 -1.80368980e+00 -2.74616283e+00 -1.83275027e+00]
  [-1.50849360e+00 -1.36855432e+00 -2.09948110e+00 -1.46501384e+00]
  [-1.35788802e+00 -7.75793004e-01 -1.40775000e+00 -7.68932082e-01]
  [-5.98352916e-01 -2.00373806e+00 -1.38750000e+00  4.76162878e-01]]

 [[-2.64440239e+00 -1.91853924e+00 -2.47683398e+00 -1.98777286e+00]
  [-2.18288188e+00 -1.58110713e+00 -1.87698730e+00 -1.38829028e+00]
  [-1.46696355e+00 -9.54036474e-01 -1.25425869e+00 -1.10531488e+00]
  [-1.07802678e+00  3.37084647e-01 -7.52630537e-01 -3.50783599e-01]
  [-1.50000000e-01 -1.29360303e+00 -3.17696250e-01  5.89427958e+00]]

 [[-2.08825869e+00 -1.53365349e+00 -1.56497904e+00 -1.54532072e+00]
  [-1.04265360e+00 -1.23372581e+00 -1.20811493e+00 -1.20211021e+00]
  [-6.44742798e-01 -6.70835315e-01 -1.01595842e+00 -8.65599974e-01]
  [-6.89366639e-01  4.38750885e+00 -6.52866553e-01 -4.78955625e-01]
  [-1.50000000e-01  0.00000000e+00 -1.50000000e-01  1.58498199e+01]]

 [[-2.07542116e+00 -1.03395580e+00 -1.38620955e+00 -1.22350113e+00]
  [-9.18554288e-01  7.54534075e-03 -8.79452917e-01 -4.10214989e-01]
  [-7.45184784e-01 -4.47930094e-01 -7.55922435e-01  4.57610019e+00]
  [-5.27893041e-01  1.20375000e-01 -4.26196072e-01 -2.77500000e-01]
  [-1.70250000e-01  0.00000000e+00 -1.50000000e-01  2.34221644e+01]]

 [[-2.00128528e+00 -7.93751982e-01 -1.05155888e+00 -2.07320492e+00]
  [-4.72306177e-01  3.28526686e+00 -7.07797720e-01 -1.40775000e+00]
  [-1.50000000e-01  1.44060666e+01 -3.32175000e-01 -1.38750000e+00]
  [ 0.00000000e+00  2.28161445e+01 -4.23337500e-01 -1.38750000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
33,"[3, 1, 3, 1, 2, 3, 0, 0, 1, 2, 1, 3, 2, 1, 1, 3, 3, 3]",8,18,"[[[-3.13403932e+00 -2.34689438e+00 -4.15483009e+00 -2.51599856e+00]
  [-2.32573948e+00 -1.80368980e+00 -2.74616283e+00 -1.83275027e+00]
  [-1.50849360e+00 -1.36855432e+00 -2.09948110e+00 -1.46501384e+00]
  [-1.35788802e+00 -7.75793004e-01 -1.40775000e+00 -7.68932082e-01]
  [-5.98352916e-01 -2.00373806e+00 -1.38750000e+00  4.76162878e-01]]

 [[-2.64440239e+00 -1.96817755e+00 -2.47683398e+00 -1.98777286e+00]
  [-2.18288188e+00 -1.62273598e+00 -1.87698730e+00 -1.47080498e+00]
  [-1.46696355e+00 -9.15424576e-01 -1.25425869e+00 -1.24063700e+00]
  [-1.07802678e+00  9.32249693e-01 -7.52630537e-01 -3.50783599e-01]
  [-1.50000000e-01 -1.29360303e+00 -3.17696250e-01  6.99986334e+00]]

 [[-2.08825869e+00 -1.61589034e+00 -1.56497904e+00 -1.54532072e+00]
  [-1.24329878e+00 -1.28570722e+00 -1.37545637e+00 -1.20211021e+00]
  [-8.38789615e-01 -6.70835315e-01 -1.24980057e+00 -8.65599974e-01]
  [-6.89366639e-01  4.38750885e+00 -6.52866553e-01 -4.78955625e-01]
  [-1.50000000e-01  0.00000000e+00 -1.50000000e-01  1.64843391e+01]]

 [[-2.07542116e+00 -1.03395580e+00 -1.38620955e+00 -1.22350113e+00]
  [-9.18554288e-01  7.54534075e-03 -8.79452917e-01 -4.10214989e-01]
  [-7.45184784e-01 -4.47930094e-01 -7.55922435e-01  4.57610019e+00]
  [-5.27893041e-01  1.20375000e-01 -4.26196072e-01 -2.77500000e-01]
  [-1.70250000e-01  0.00000000e+00 -1.50000000e-01  2.36588398e+01]]

 [[-2.00128528e+00 -7.93751982e-01 -1.05155888e+00 -2.07320492e+00]
  [-4.72306177e-01  3.28526686e+00 -7.07797720e-01 -1.40775000e+00]
  [-1.50000000e-01  1.44060666e+01 -3.32175000e-01 -1.38750000e+00]
  [ 0.00000000e+00  2.28161445e+01 -4.23337500e-01 -1.38750000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
34,"[3, 1, 3, 2, 3, 3, 3, 1, 1, 1]",16,10,"[[[-3.13403932e+00 -2.34689438e+00 -4.15483009e+00 -2.55430274e+00]
  [-2.32573948e+00 -1.80368980e+00 -2.74616283e+00 -1.83275027e+00]
  [-1.50849360e+00 -1.36855432e+00 -2.09948110e+00 -1.46501384e+00]
  [-1.35788802e+00 -7.75793004e-01 -1.40775000e+00 -7.68932082e-01]
  [-5.98352916e-01 -2.00373806e+00 -1.38750000e+00  4.76162878e-01]]

 [[-2.64440239e+00 -2.02150959e+00 -2.47683398e+00 -1.98777286e+00]
  [-2.18288188e+00 -1.62273598e+00 -1.87698730e+00 -1.64038362e+00]
  [-1.46696355e+00 -9.15424576e-01 -1.25425869e+00 -1.24063700e+00]
  [-1.07802678e+00  9.32249693e-01 -7.52630537e-01 -3.50783599e-01]
  [-1.50000000e-01 -1.29360303e+00 -3.17696250e-01  6.99986334e+00]]

 [[-2.08825869e+00 -1.61589034e+00 -1.56497904e+00 -1.54532072e+00]
  [-1.24329878e+00 -1.28570722e+00 -1.53007124e+00 -1.17077506e+00]
  [-8.38789615e-01 -6.70835315e-01 -1.24980057e+00 -8.65599974e-01]
  [-6.89366639e-01  4.38750885e+00 -6.52866553e-01 -4.78955625e-01]
  [-1.50000000e-01  0.00000000e+00 -1.50000000e-01  1.64843391e+01]]

 [[-2.07542116e+00 -1.03395580e+00 -1.38620955e+00 -1.22350113e+00]
  [-9.18554288e-01  7.54534075e-03 -8.79452917e-01 -5.51717146e-02]
  [-7.45184784e-01 -4.47930094e-01 -7.55922435e-01  4.57610019e+00]
  [-5.27893041e-01  1.20375000e-01 -4.26196072e-01 -2.77500000e-01]
  [-1.70250000e-01  0.00000000e+00 -1.50000000e-01  2.36588398e+01]]

 [[-2.00128528e+00 -7.93751982e-01 -1.05155888e+00 -2.07320492e+00]
  [-4.72306177e-01  4.58729583e+00 -7.07797720e-01 -1.40775000e+00]
  [-1.50000000e-01  1.51753362e+01 -3.32175000e-01 -1.38750000e+00]
  [ 0.00000000e+00  2.31437228e+01 -4.23337500e-01 -1.38750000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
35,"[0, 3, 3, 3, 2, 1, 1, 3, 3, 1, 1]",11,11,"[[[-3.73076417e+00 -2.34689438e+00 -4.15483009e+00 -2.58950667e+00]
  [-2.32573948e+00 -1.80368980e+00 -2.74616283e+00 -1.83275027e+00]
  [-1.50849360e+00 -1.36855432e+00 -2.09948110e+00 -1.46501384e+00]
  [-1.35788802e+00 -7.75793004e-01 -1.40775000e+00 -7.68932082e-01]
  [-5.98352916e-01 -2.00373806e+00 -1.38750000e+00  4.76162878e-01]]

 [[-2.64440239e+00 -2.02150959e+00 -2.47683398e+00 -2.04822523e+00]
  [-2.18288188e+00 -1.62273598e+00 -1.87698730e+00 -1.64038362e+00]
  [-1.46696355e+00 -9.15424576e-01 -1.25425869e+00 -1.24063700e+00]
  [-1.07802678e+00  9.32249693e-01 -7.52630537e-01 -3.50783599e-01]
  [-1.50000000e-01 -1.29360303e+00 -3.17696250e-01  6.99986334e+00]]

 [[-2.08825869e+00 -1.68156143e+00 -1.56497904e+00 -1.60310665e+00]
  [-1.24329878e+00 -1.33341390e+00 -1.53007124e+00 -1.17077506e+00]
  [-8.38789615e-01 -6.70835315e-01 -1.24980057e+00 -2.67986452e-01]
  [-6.89366639e-01  4.38750885e+00 -6.52866553e-01 -4.78955625e-01]
  [-1.50000000e-01  0.00000000e+00 -1.50000000e-01  1.64843391e+01]]

 [[-2.07542116e+00 -1.03395580e+00 -1.53955029e+00 -1.22350113e+00]
  [-9.18554288e-01  7.54534075e-03 -8.79452917e-01 -5.51717146e-02]
  [-7.45184784e-01 -4.47930094e-01 -7.55922435e-01  5.78835554e+00]
  [-5.27893041e-01  1.20375000e-01 -4.26196072e-01 -2.77500000e-01]
  [-1.70250000e-01  0.00000000e+00 -1.50000000e-01  2.36588398e+01]]

 [[-2.00128528e+00 -7.93751982e-01 -1.05155888e+00 -2.07320492e+00]
  [-4.72306177e-01  4.58729583e+00 -7.07797720e-01 -1.40775000e+00]
  [-1.50000000e-01  1.58734383e+01 -3.32175000e-01 -1.38750000e+00]
  [ 0.00000000e+00  2.34221644e+01 -4.23337500e-01 -1.38750000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
36,"[3, 1, 3, 0, 1, 3, 1, 3, 1, 1]",16,10,"[[[-3.73076417 -2.34689438 -4.15483009 -2.62398446]
  [-2.32573948 -1.8036898  -2.74616283 -1.83275027]
  [-1.5084936  -1.36855432 -2.0994811  -1.46501384]
  [-1.35788802 -0.775793   -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      0.47616288]]

 [[-2.64440239 -2.08735251 -2.47683398 -2.04822523]
  [-2.18288188 -1.62273598 -1.8769873  -1.70238071]
  [-1.46696355 -0.91542458 -1.25425869 -1.240637  ]
  [-1.07802678  0.93224969 -0.75263054 -0.3507836 ]
  [-0.15       -1.29360303 -0.31769625  6.99986334]]

 [[-2.08825869 -1.73738184 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -1.14414018]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  4.38750885 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       16.48433912]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  0.63784154 -0.87945292 -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  6.91301638]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.65883975]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       16.50441476 -0.332175   -1.3875    ]
  [ 0.         23.65883975 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
37,"[1, 0, 3, 0, 3, 0, 1, 3, 2, 3, 1, 3, 1, 1]",4,14,"[[[-3.73076417 -2.38835834 -4.15483009 -2.6568972 ]
  [-2.44930693 -1.8036898  -2.74616283 -1.83275027]
  [-1.5084936  -1.36855432 -2.0994811  -1.46501384]
  [-1.35788802 -0.775793   -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      0.47616288]]

 [[-3.27425244 -2.08735251 -2.47683398 -2.10226361]
  [-2.18288188 -1.62273598 -1.8769873  -1.70238071]
  [-1.46696355 -0.91542458 -1.25425869 -1.240637  ]
  [-1.07802678  0.93224969 -0.75263054 -0.3507836 ]
  [-0.15       -1.29360303 -0.31769625  6.99986334]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.94484036]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  4.38750885 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       16.48433912]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  1.32542252 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  7.95415992]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.65883975]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.07269591 -0.332175   -1.3875    ]
  [ 0.         23.86001379 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
38,"[1, 1, 2, 1, 1, 3, 3, 3, 3]",13,9,"[[[-3.73076417 -2.42360271 -4.15483009 -2.6568972 ]
  [-2.44930693 -1.86789116 -2.74616283 -1.83275027]
  [-1.5084936  -1.417077   -2.71931377 -1.46501384]
  [-1.35788802 -0.74514206 -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.08735251 -2.47683398 -2.10226361]
  [-2.18288188 -1.62273598 -1.8769873  -1.70238071]
  [-1.46696355 -0.91542458 -1.25425869 -1.240637  ]
  [-1.07802678  0.93224969 -0.75263054 -0.3507836 ]
  [-0.15       -1.29360303 -0.31769625  8.02526962]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.94484036]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  4.38750885 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       17.05563162]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  1.32542252 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  7.95415992]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.86001379]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.07269591 -0.332175   -1.3875    ]
  [ 0.         23.86001379 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
39,"[3, 1, 3, 3, 1, 3, 1, 1]",18,8,"[[[-3.73076417 -2.42360271 -4.15483009 -2.69015521]
  [-2.44930693 -1.86789116 -2.74616283 -1.83275027]
  [-1.5084936  -1.417077   -2.71931377 -1.46501384]
  [-1.35788802 -0.74514206 -1.40775    -0.76893208]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.62273598 -1.8769873  -1.72457705]
  [-1.46696355 -0.91542458 -1.25425869 -1.240637  ]
  [-1.07802678  0.93224969 -0.75263054 -0.3507836 ]
  [-0.15       -1.29360303 -0.31769625  8.02526962]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  4.38750885 -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       17.05563162]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       23.86001379]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
40,"[1, 0, 1, 1, 3, 2, 1, 3, 3, 1, 3, 3]",14,12,"[[[-3.73076417 -2.48628234 -4.15483009 -2.69015521]
  [-2.56367118 -1.92901288 -2.74616283 -1.83275027]
  [-1.5084936  -1.45510963 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775    -0.67773856]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.62273598 -1.8769873  -1.72457705]
  [-1.46696355 -0.91542458 -1.40742528 -1.240637  ]
  [-1.07802678  0.93224969 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625  8.02526962]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       17.56838874]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.03101172]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
41,"[np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.51076128 -4.15483009 -2.69015521]
  [-2.56367118 -1.92901288 -2.74616283 -1.92690709]
  [-1.5084936  -1.45510963 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775    -0.67773856]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.6529079  -1.8769873  -1.72457705]
  [-1.46696355 -0.80225718 -1.40742528 -1.240637  ]
  [-1.07802678  1.72582364 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625  9.04321165]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       18.02731701]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.17635996]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
42,"[np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.54427954 -4.15483009 -2.69015521]
  [-2.56367118 -1.92901288 -2.74616283 -2.01101359]
  [-1.5084936  -1.45510963 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775    -0.67773856]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.66327644 -1.8769873  -1.72457705]
  [-1.46696355 -0.59893241 -1.40742528 -1.240637  ]
  [-1.07802678  2.53778367 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625  9.9704177 ]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       18.43702806]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.29990597]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
