Episode,Action Sequence,Total Reward,Steps Taken,Weights
21,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  6.34871264 -1.32884347
 -0.95948977 -0.37979223 37.60982959  6.6170155   4.21878093 11.98389591
 19.83793102 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.51998562  1.25571595  6.86985811 13.45242409 -2.00154228 -1.53687469
 21.5393992  -1.15129579 -1.18853992 -0.60621853]"
22,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  6.82147425 -1.32884347
 -0.95948977 -0.37979223 38.06210909  7.08977712  4.48964229 12.14622185
 19.85702322 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.44555711  1.52058199  7.17727624 13.60350612 -2.00154228 -1.53687469
 22.3371939  -1.15129579 -1.18853992 -0.60621853]"
23,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  7.27015751 -1.32884347
 -0.95948977 -0.37979223 38.45187312  7.53846038  4.73500426 12.28037464
 19.86727249 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.35850288  1.77506326  7.44697719 13.71520209 -2.00154228 -1.53687469
 23.06012631 -1.15129579 -1.18853992 -0.60621853]"
24,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  7.69358399 -1.32884347
 -0.95948977 -0.37979223 38.7862269   7.96188686  4.9558261  12.39030981
 19.87086927 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.2609958   2.01678119  7.68049262 13.79322021 -2.00154228 -1.53687469
 23.71088487 -1.15129579 -1.18853992 -0.60621853]"
25,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  8.09099839 -1.32884347
 -0.95948977 -0.37979223 39.07171749  8.35930125  5.15335061 12.47957442
 19.86957075 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.15524424  2.24388097  7.87984741 13.84295068 -2.00154228 -1.53687469
 24.29282148 -1.15129579 -1.18853992 -0.60621853]"
26,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  8.46202637 -1.32884347
 -0.95948977 -0.37979223 39.31433144  8.73032923  5.3290148  12.55131958
 19.86477534 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.043426    2.45500863  8.04743213 13.86938946 -2.00154228 -1.53687469
 24.80979088 -1.15129579 -1.18853992 -0.60621853]"
27,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  8.80663229 -1.32884347
 -0.95948977 -0.37979223 39.51950414  9.07493515  5.48437575 12.60832093
 19.85758574 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.9276328   2.64927691  8.1858871  13.87708668 -2.00154228 -1.53687469
 25.26600456 -1.15129579 -1.18853992 -0.60621853]"
28,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  9.12507736 -1.32884347
 -0.95948977 -0.37979223 39.69213812  9.39338022  5.62105015 12.65300418
 19.84886206 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.80982556  2.82622296  8.29799937 13.87011695 -2.00154228 -1.53687469
 25.66590037 -1.15129579 -1.18853992 -0.60621853]"
29,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  9.41787882 -1.32884347
 -0.95948977 -0.37979223 39.83662797  9.68618169  5.74066612 12.68747362
 19.8392665  -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.69180013  2.98576054  8.38661331 13.85206823 -2.00154228 -1.53687469
 26.01402859 -1.15129579 -1.18853992 -0.60621853]"
30,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  9.68577059 -1.32884347
 -0.95948977 -0.37979223 39.95688999  9.95407345  5.84482572 12.71354174
 19.8293008  -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.57516287  3.12812927  8.454555   13.82604625 -2.00154228 -1.53687469
 26.31495431 -1.15129579 -1.18853992 -0.60621853]"
31,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  9.92966582 -1.32884347
 -0.95948977 -0.37979223 40.05639477 10.19796869  5.93507665 12.73275898
 19.81933741 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.4613153   3.25384278  8.50457026 13.79469134 -2.00154228 -1.53687469
 26.57317573 -1.15129579 -1.18853992 -0.60621853]"
